movie_title,movie_type,movie_content,movie_img,movie_open_date,movie_rating,movie_runtime,movie_actor,movie_director,movie_country,movie_seq
인생은 아름다워,뮤지컬,"무뚝뚝한 남편 ‘진봉’과 무심한 아들 딸을 위해 헌신하며 살아온 ‘세연’은
 어느 날 자신에게 시간이 얼마 남지 않았다는 것을 알게 된다.
 한 치 앞도 알 수 없는 인생에 서글퍼진 ‘세연’은 마지막 생일선물로
 문득 떠오른 자신의 첫사랑을 찾아 달라는 황당한 요구를 한다.
 막무가내로 우기는 아내의 고집에 어쩔 수 없이 여행길에 따라나선 ‘진봉’은
 아무런 단서도 없이 이름 석 자만 가지고 무작정 전국 방방곡곡을 누빈다.
 시도 때도 없이 티격태격 다투던 두 사람은 가는 곳곳마다
 자신들의 찬란했던 지난날 소중한 기억을 하나 둘 떠올리는데...
 과연 ‘세연’의 첫사랑은 어디에 있으며 그들의 여행은 무사히 마칠 수 있을까?",인생은 아름다워.jpg,2022.09.28,9.21,122분,"류승룡(강진봉), 염정아(오세연), 박세완(여고생 세연)",최국희,대한민국,14
더 배트맨,"액션, 범죄, 드라마","지난 2년간 고담시의 어둠 속에서 범법자들을 응징하며 배트맨으로 살아온 브루스 웨인. 알프레드와 제임스 고든 경위의 도움 아래, 도시의 부패한 공직자들과 고위 관료들 사이에서 복수의 화신으로 활약한다. 고담의 시장 선거를 앞두고 고담의 엘리트 집단을 목표로 잔악한 연쇄살인을 저지르는 수수께끼 킬러 리들러가 나타나자, 최고의 탐정 브루스 웨인이 수사에 나서고 남겨진 단서를 풀어가며 캣우먼, 펭귄, 카마인 팔코네, 리들러를 차례대로 만난다. 사이코 범인의 미스터리를 수사하면서 그 모든 증거가 자신을 향한 의도적인 메시지였음을 깨닫고, 리들러에게 농락 당한 배트맨은 광기에 사로잡힌다. 범인의 무자비한 계획을 막고 오랫동안 고담시를 썩게 만든 권력 부패의 고리를 끊어야 하지만, 부모님의 죽음에 얽힌 진실이 밝혀지자 복수와 정의 사이에서 갈등한다.
 선과 악, 빛과 어둠, 영웅과 악당, 정의와 복수.. 무엇을 선택할 것인가",더 배트맨.jpg,2022.03.01,7.2,176분,"로버트 패틴슨(브루스 웨인 / 배트맨), 폴 다노(리들러), 조 크라비츠(셀리나 카일 / 캣 우먼)",맷 리브스,미국,15
정직한 후보2,코미디,"서울시장 선거에서 떨어지며 쫄딱 망한 백수가 된 ‘주상숙’은
 우연히 바다에 빠진 한 청년을 구한 일이 뉴스를 타며
 고향에서 화려한 복귀의 기회를 잡는다.
 
 하지만 정직하면 할수록 바닥으로 곤두박질치는 지지율 앞에
 다시 뻥쟁이로 돌아간 그 순간,
 ‘주상숙’에게 운명처럼 찾아온 ‘진실의 주둥이’!
 
 이번엔 ‘주상숙’의 비서실장 ‘박희철’까지 주둥이가 쌍으로 털리게 되는데...
 
 재미도 2배! 웃음도 2배!
 주둥이 대폭발 코미디가 돌아왔다!",정직한 후보2.jpg,2022.09.28,6.0,107분,"라미란(주상숙), 김무열(박희철), 윤경호(봉만식)",장유정,대한민국,16
씽2게더,애니메이션,"대국민 오디션 이후 각자의 자리에서 꿈을 이루고 있는 버스터 문(매튜 맥커너히)과 크루들에게
 레드 쇼어 시티에서 전 세계가 주목하는 사상 최고의 쇼가 펼쳐진다는 소식이 들려오고
 버스터 문과 크루들은 도전에 나선다.
 
 그러나 최고의 스테이지에 서기 위한 경쟁은 이전과는 비교도 할 수 없을 만큼 치열하고,
 버스터 문은 완벽한 라이브를 위해 종적을 감춘 레전드 뮤지션 클레이(보노)를 캐스팅하겠다는 파격 선언을 하는데!",씽2게더.jpg,2022.01.05,9.38,110분,"매튜 맥커너히(버스터 문 목소리), 리즈 위더스푼(로지타 목소리), 스칼릿 조핸슨(애쉬 목소리)",가스 제닝스,미국,17
극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,애니메이션,"명문 엘리트 양성학교에 체험 입학하게 된 짱구와 친구들!
 좋은 성적을 내서 학교에 정식 입학하고 싶은 철수와 장난만 치려는 짱구는 크게 싸우게 된다.
 그러던 중 학교에 도는 괴소문의 존재 ‘흡덩귀’에게 철수가 엉덩이를 물린 채 발견된다.
 ‘흡덩귀’에게 엉덩이를 물리면 엘리트 학생도 모지리로 변하게 되는데….
 철수와 학생들을 구하기 위해 짱구와 떡잎마을 방범대 친구들은 탐정 동아리를 결성하고 수사를 시작한다!
 
 범인은 과연 누구?
 짱구는 사건을 해결하고 철수와의 우정을 지킬 수 있을까?!",극장판 짱구는 못말려 수수께끼! 꽃피는 천하떡잎학교.jpg,2022.09.28,9.29,105분,[국내] 전체 관람가,타카하시 와타루,일본,18
킹메이커,드라마,"세상을 바꾸기 위해 도전하는 정치인 ‘김운범’ 앞에
 그와 뜻을 함께하고자 선거 전략가 ‘서창대’가 찾아온다.
 
 열세인 상황 속에서 서창대는 아무도 상상하지 못한 선거 전략을 펼치고
 ‘김운범’은 선거에 연이어 승리하며, 당을 대표하는 대통령 후보까지 올라서게 된다.
 
 대통령 선거를 향한 본격적인 행보가 시작되고 그들은 당선을 위해 총력을 기울인다.
 
 그러던 중 ‘김운범’ 자택에 폭발물이 터지는 사건이 발생하고
 용의자로 ‘서창대’가 지목되면서 둘의 관계는 새로운 국면을 맞이하게 되는데...
 
 치열한 선거판,
 그 중심에 있던 두 남자의 이야기가 시작된다!",킹메이커.jpg,2022.01.26,7.27,123분,"설경구(김운범), 이선균(서창대)",변성현,대한민국,19
블랙 아담,"액션, 모험, SF","기원전 가장 번성하고 위대한 고대 국가였지만
 현재는 국제 군사 조직 인터갱의 독재 국가로 전락한 칸다크.
 인터갱의 눈을 피해 고대 유물을 찾던 '아드리아나'는
 우연히 5000년 동안 잠들어 있던 '블랙 아담'을 깨우게 된다.
 
 엄청난 괴력과 스피드, 방탄 능력과 자유자재의 고공비행, 번개를 쏘는 능력까지.
 온몸이 무기인 '블랙 아담'은 자신의 앞을 막아서는 인터갱들을 모조리 쓸어버리고
 칸다크 국민들은 이에 열광한다. 한편, 그의 폭주를 막기 위해 호크맨, 닥터 페이트, 아톰 스매셔,
 사이클론으로 구성된 히어로 군단 '저스티스 소사이어티'가 칸다크에 나타나는데...
 
 세상을 구할 것인가, 파괴할 것인가
 사람들이 열광할 문제적 히어로가 온다!",블랙 아담.jpg,2022.10.19,7.55,125분,"드웨인 존슨(블랙 아담), 노아 센티네오, 피어스 브로스넌",자움 콜렛 세라,미국,20
자백,"범죄, 스릴러","불륜 사실을 폭로하겠다는 협박을 받고 향한 호텔에서 의문의 습격을 당한 유민호(소지섭).
 정신을 차려보니 함께 있던 김세희(나나)는 죽어있고, 범인은 흔적도 없이 사라졌다.
 
 하루아침에 성공한 사업가에서 밀실 살인 사건의 유일한 용의자로 누명을 쓴 유민호는
 무죄를 입증하기 위해 승률 100%의 변호사 양신애(김윤진)를 찾는다.
 
 눈 내리는 깊은 산속의 별장에서 마주한 두 사람,
 양신애는 완벽한 진술을 위해 처음부터 사건을 재구성해야 한다고 말하고,
 사건의 조각들이 맞춰지며 유민호가 감추고 있던 또 다른 사건이 모습을 드러내게 되는데…
 
 두 개의 사건, 두 개의 시신
 숨겨진 진실이 밝혀진다.",자백.jpg,2022.10.26,8.48,105분,"소지섭(유민호), 김윤진(이희정), 나나(김세희)",윤종석,대한민국,21
언차티드,"액션, 모험","평범한 삶을 살던 ‘네이선’(톰 홀랜드)은 인생을 바꿀 뜻밖의 제안을 받는다.
 그의 미션은 위험한 트레져 헌터 ‘설리’(마크 월버그)와 함께 사라진 형과 500년 전 잃어버린 천문학적인 가치를 지닌 트레져를 찾아내는 것.
 
 그러나 몬카다(안토니오 반데라스)의 위협과 추격 속,
 누구보다 빠르게 미지의 세계에 닿기 위해 결단을 내려야만 하는데…",언차티드.jpg,2022.02.16,7.35,116분,"톰 홀랜드(네이선 드레이크), 마크 월버그(빅터 설리반), 소피아 테일러 알리(클로이 프레이저)",루벤 플레셔,미국,22
경관의 피,"범죄, 드라마","출처불명의 막대한 후원금을 받고 고급 빌라, 명품 수트, 외제차를 타며
 범죄자들을 수사해온 광역수사대 반장 강윤(조진웅)의 팀에
 어느 날 뼛속까지 원칙주의자인 신입경찰 민재(최우식)가 투입된다.
 
 강윤이 특별한 수사 방식을 오픈하며 점차 가까워진 두 사람이
 함께 신종 마약 사건을 수사하던 중
 강윤은 민재가 자신의 뒤를 파는 두더지, 즉 언더커버 경찰임을 알게 되고
 민재는 강윤을 둘러싼 숨겨진 경찰 조직의 비밀을 마주하게 되는데…",경관의 피.jpg,2022.01.05,7.22,119분,"조진웅(박강윤), 최우식(최민재), 박희순(감찰계장)",이규만,대한민국,23
극장판 주술회전 0,애니메이션,"어릴 적 소꿉친구인 오리모토 리카를 교통사고로 눈앞에서 잃은 옷코츠 유타.
 
 “약속해, 리카와 유타는 어른이 되면 결혼하기로”
 옷코츠는 원령으로 변한 리카의 저주에 괴로워한 나머지, 자신도 죽기를 바라지만 최강의 주술사인 고죠 사토루에 의해 주술고전에 들어가게 된다. 그리고 동급생인 젠인 마키, 이누마키 토게, 판다를 만나면서 굳은 결심을 한다.
 
 “살아도 된다는 자신감이 필요해”
 “나는 주술고전에서 리카의 저주를 풀겠습니다”
 한편, 옷코츠와 친구들 앞에 과거에 일반인을 대량으로 학살해서 고전에서 추방된 최악의 주저사인 게토 스구루가 나타난다.
 
 “12월 24일, 우리는 백귀야행을 결행한다”
 주술사만의 낙원을 만들려는 게토는 비술사를 섬멸하겠다면서, 신주쿠와 교토에 천의 저주를 내리는데…과연 옷코츠는 게토를 막을 수 있을까? 그리고 리카의 저주를 풀 수 있을까?",극장판 주술회전 0.jpg,2022.02.17,9.23,105분,"오가타 메구미(옷코츠 유타), 하나자와 카나(오리모토 리카), 코마츠 미카코(젠인 마키)",박성후,일본,24
극장판 포켓몬스터DP: 기라티나와 하늘의 꽃다발 쉐이미,애니메이션,"끝나지 않은 전설의 포켓몬들의 배틀로
 위험에 빠진 반전 세계와 현실 세계를 구하기 위해
 감사포켓몬 ‘쉐이미’와 ‘지우’, ‘피카츄’가 나서면서 시작되는 모험 이야기",극장판 포켓몬스터DP 기라티나와 하늘의 꽃다발 쉐이미.jpg,2022.06.01,7.45,96분,"이선호, 김영선, 마츠모토 리카(사토시 목소리)",유야마 쿠니히코,일본,25
이상한 나라의 수학자,드라마,"학문의 자유를 갈망하며 탈북한 천재 수학자 '이학성’(최민식).
 그는 자신의 신분과 사연을 숨긴 채
 상위 1%의 영재들이 모인 자사고의 경비원으로 살아간다.
 
 차갑고 무뚝뚝한 표정으로 학생들의 기피 대상 1호인 ‘이학성’은
 어느 날 자신의 정체를 알게 된 뒤 수학을 가르쳐 달라 조르는
 수학을 포기한 고등학생 ‘한지우’(김동휘)를 만난다.
 
 정답만을 찾는 세상에서 방황하던 ‘한지우’에게
 올바른 풀이 과정을 찾아나가는 법을 가르치며
 ‘이학성’ 역시 뜻하지 않은 삶의 전환점을 맞게 된다.",이상한 나라의 수학자.jpg,2022.03.09,8.2,117분,"최민식(리학성), 김동휘(한지우)",박동훈,대한민국,26
모비우스,"액션, 모험, 드라마","희귀혈액병을 앓고 있는 생화학자 ‘모비우스’(자레드 레토)는
 동료인 ‘마르틴’(아드리아 아르호나)과 함께 치료제 개발에 몰두한다.
 
 흡혈 박쥐를 연구하던 중 마침내 치료제 개발에 성공한 ‘모비우스’는
 새 생명과 강력한 힘을 얻게 되지만,
 동시에 흡혈을 하지 않고는 생명을 유지할 수 없게 된다.
 
 그러던 중 ‘모비우스’와 같은 병을 앓고 있던 그의 친구 ‘마일로’(맷 스미스)도
 ‘모비우스’와 같은 힘을 얻게 되는데…
 
 세상을 구할 능력, 파괴할 본능!
 마블 최강의 안티 히어로가 탄생한다!",모비우스.jpg,2022.03.30,7.06,104분,"자레드 레토(마이클 모비우스 박사), 아드리아 아르호나(마틴 밴크로프트)",다니엘 에스피노사,미국,27
늑대사냥,"액션, 범죄","동남아시아로 도피한 인터폴 수배자들을 이송할 움직이는 교도소 ‘프론티어 타이탄’.
 극악무도한 이들과 베테랑 형사들이 필리핀 마닐라 항구에 모이고
 탈출을 꿈꾸는 종두(서인국), 한국으로 돌아가야만 하는 도일(장동윤)을 비롯해
 이들은 각자의 목적과 경계심을 품고 탑승한다.
 
 한국으로 향하던 중, 태평양 한 가운데에서 이들에게는
 지금까지 보지 못한 극한의 상황과 마주하게 되는데…
 
 태평양 한 가운데의 지옥, 누가 살아남을 것인가?",늑대사냥.jpg,2022.09.21,4.25,121분,"서인국(박종두), 장동윤(이도일), 최귀화(알파)",김홍선,대한민국,28
뽀로로 극장판 드래곤캐슬 대모험,애니메이션,"깊은 산속 드래곤캐슬에
 꼬마 드래곤 왕 아서의 막강한 힘이 봉인된 보석 ‘드래곤 하트’를 빼앗아
 왕이 되려는 수상한 마법사 게드가 나타난다.
 
 한편, 우연히 ‘드래곤 하트’의 힘을 흡수한 크롱이
 자이언트 크롱으로 변하면서 뽀로로와 친구들 역시 위험에 처한다.
 
 아서와 뽀로로와 친구들은
 악당 마법사 게드로부터 힘을 되찾고 친구들을 구하기 위해
 무적의 메카드래곤을 만들어 드래곤캐슬로 향하는데…!
 
 뽀로로와 친구들의 판타지 액션 어드벤처!
 과연 드래곤캐슬과 소중한 친구들을 지켜낼 수 있을까?",뽀로로 극장판 드래곤캐슬 대모험.jpg,2022.07.28,9.12,70분,"이선(뽀로로 목소리), 이미자(크롱 목소리), 김현지(에디 목소리)","강승훈, 윤제완",대한민국,29
특송,"범죄, 액션","예상치 못한 배송사고로 걷잡을 수 없는 사건에 휘말린
 특송 전문 드라이버 ‘은하’.
 어쩌다 맡게 된 반송 불가 수하물에 출처를 알 수 없는 300억까지!
 경찰과 국정원의 타겟이 되어
 도심 한복판 모든 것을 건 추격전을 벌이게 되는데…
 
 NO브레이크! FULL엑셀!
 성공률 100% 특송 전문 드라이버가 온다!",특송.jpg,2022.01.12,7.55,108분,"박소담(은하), 송새벽(경필), 김의성(백사장)",박대민,대한민국,30
놉,"미스터리, 공포","거대하고, 주목받길 원하고, 미쳤다.
 나쁜 기적이라는 것도 있을까?",놉.jpg,2022.08.17,6.77,130분,"다니엘 칼루야, 케케 파머, 스티븐 연",조던 필,미국,31
리멤버,드라마,"뇌종양 말기, 80대 알츠하이머 환자인 한필주. 일제강점기 때 친일파들에게 가족을 모두 잃었다.
 아내가 세상을 떠나자 필주는 60여 년을 계획해 온 복수를 감행하려고 한다.
 그는 알바 중인 패밀리 레스토랑에서 절친이 된 20대 알바생 인규에게
 일주일만 운전을 도와 달라 부탁한다.
 
 “원래 이런 사람이었어요? 정체가 뭐예요 도대체?! 같이 접시 닦던 사람 맞아요?”
 
 이유도 모른 채 필주를 따라나선 인규는 첫 복수 현장의 CCTV에 노출되어 유력 용의자로 지목된다.
 경찰은 수사망을 좁혀오고 사라져가는 기억과 싸우며 필주는 복수를 이어가는데…
 
 60년의 계획, 복수를 위한 위험한 동행이 시작된다!",리멤버.jpg,2022.10.26,8.14,128분,"이성민, 남주혁",이일형,대한민국,32
